date,city,state,category_de,description_de,source,year
2015-12-31,Mallentin,Mecklenburg-Vorpommern,Sonstige Angriffe,"Ein Mann, der im Dorf ""allgemein für seine rechte Auffassung bekannt"" sei, sprengte laut Aussage einer ehrenamtlichen Helferin mit einem Böller den Briefkasten eines Wohnblocks, in dem Geflüchtete leben.",https://correctiv.org/recherchen/neue-rechte/artikel/2016/09/02/afd-mecklenburg-vorpommern-christoph-grimm-mallentin-fluechtlinge/,2015
2015-12-31,Laatzen,Niedersachsen,Brandanschlag,"Unbekannte legten in der Nacht Feuer im Zugangsbereich des Kellers einer Asylunterkunft, in der 60 Menschen leben. Ersten Erkenntnissen zufolge hatten sich unbekannte Täter über die rückwärtige Seite Zutritt zum Grundstück verschafft und das Feuer im Zugangsbereich zum Keller gelegt. Ein Bewohner konnte die Flammen noch vor dem Eintreffen der Feuerwehr mit einem Feuerlöscher löschen.",http://www.presseportal.de/blaulicht/pm/66841/3214947,2015
2015-12-31,Nienburg,Sachsen-Anhalt,Sonstige Angriffe,"Vier Unbekannte haben in der Silvesternacht Steine und Bierflaschen auf eine Asylunterkunft im Stadtteil Gerbitz geworfen. Allerdings wurde der Vorfall erst mit einiger Verzögerung öffentlich bekannt. Weshalb die Polizei den Fall nicht sofort öffentlich bekannt gemacht hatte, um Zeugen zu suchen, werde gerade intern ermittelt, so die Mitteldeutsche Zeitung.","http://www.mz-web.de/bernburg/angespannte-lage-fluechtlinge-in-gerbitz-eingeschuechtert,20640898,33483440.html",2015
2015-12-31,Sellin,Mecklenburg-Vorpommern,Sonstige Angriffe,"Vier Jugendliche zündeten am Abend Böller vor einer Asylunterkunft. Einer von ihnen gestand später, rassistische Parolen gerufen zu haben. Gegen ihn wird wegen Volksverhetzung ermittelt. Mitarbeiter des Sicherheitsdienstes hatten zuvor gemeldet, dass die ganze Gruppe mehrfach rassistische Parolen gerufen habe. Ob die Böller gezielt auf die Unterkunft geworfen worden seien, ließe sich nicht feststellen, so eine Polizeisprecherin. „Das ist an Silvester per se ja nicht strafbar,"" sagte sie gegenüber der Ostsee-Zeitung.","http://www.presseportal.de/blaulicht/pm/108747/3219204
http://www.ostsee-zeitung.de/Extra/Polizei-Report/Aktuelle-Beitraege/Volksverhetzung-am-Silvesterabend-Tatverdaechtige-ermittelt",2015
2015-12-31,Herford,Nordrhein-Westfalen,Sonstige Angriffe,"Ein 49-Jähriger warf am späten Abend aus seinem Auto heraus Böller in Richtung einer Asylunterkunft. Als das Sicherheitspersonal auf ihn zuging und den Mann aufforderte, dies zu unterlassen, warf er weitere Böller auf die Angestellten des Sicherheitsdienstes. Sie blieben unverletzt. Die herbeigerufene Polizei erteilte dem Mann einen Platzverweis und nahm die Ermittlungen wegen versuchter gefährlicher Körperverletzung gegen ihn auf.",https://www.radioherford.de/nachrichten/archiv-lokales/detailansicht/mit-boellern-notunterkunft-beworfen.html,2015
2015-12-31,Ahaus,Nordrhein-Westfalen,Brandanschlag,Im Stadtteil Graes haben Unbekannte durch ein gekipptes Fenster einen brennenden Bengalo in das Badezimmer einer Asylunterkunft geworfen. Der Feuerwerkskörper entzündete einen Putzlappen. Die Bewohner konnten das Feuer selbst löschen. Die Polizei informierte erst knapp einen Monat später über den Vorfall.,"http://mobil.muensterlandzeitung.de/staedte/ahaus/Ein-Versehen-Staatsschutz-verpasst-Information-ueber-Brandanschlag;art977,2931790",2015
2015-12-30,Assamstadt,Baden-Württemberg,Sonstige Angriffe,"In der Nacht versammelten sich Rechtsradikale und randalierten an Fenstern und der Tür des Eingangsbereiches einer Asylunterkunft. ""Es wurden rechtsradikale Parolen skandiert und vor dem Eingang ein Hakenkreuz hingeschmiert"", berichtet Assamstadts Bürgermeister Joachim Döffinger.",http://www.fnweb.de/region/main-tauber/boxberg-assamstadt-ahorn/auslanderfeindliche-parolen-gerufen-1.2585180,2015
2015-12-30,Pirna,Sachsen,Sonstige Angriffe,"Aus der Antwort des Innenministeriums auf eine Kleine Anfrage der Partei Die Linke zu Straftaten gegen Asylsuchende und ihre Unterkünfte geht hervor, dass die zuständige Polizeidirektion wegen Sachbeschädigung an einer Asylunterkunft ermittelt und diese Straftat als “politisch motivierte Kriminalität – rechts” einordnet.",http://dipbt.bundestag.de/doc/btd/18/074/1807465.pdf,2015
2015-12-30,Geislingen,Baden-Württemberg,Sonstige Angriffe,"In der Nacht zündeten zwei Männer alte Leintücher an, die der Arbeitskreis Asyl mit den Kindern aus einer Asylunterkunft bemalt und an einem Zaun nahe der Unterkunft aufgehängt hatte. Am Küchenzelt der Unterkunft entstand durch das Feuer geringer Sachschaden. Die Polizei konnte die beiden Tatverdächtigen in der Nähe des Tatorts festnehmen. In einer gemeinsamen Mitteilung sprechen von Polizei und Staatsanwaltschaft von einer „Sachbeschädigung durch Brandlegung“. Die beiden jungen Männer seien den Behörden bereits vor mehreren Jahren als Angehörige der rechtsradikalen Szene im Raum Göppingen aufgefallen. Einer der beiden Männer habe die Tat inzwischen gestanden.","http://www.swp.de/geislingen/lokales/geislingen/Feuer-vor-Woelk-Halle-Polizei-nimmt-Maenner-fest;art1158503,3607984
http://www.swp.de/geislingen/lokales/geislingen/Zuendler-an-der-Woelkhalle;art1158503,3608217",2015
2015-12-29,Hamburg,Hamburg,Sonstige Angriffe,"Aus der Antwort des Innenministeriums auf eine Kleine Anfrage der Partei Die Linke zu Straftaten gegen Asylsuchende und ihre Unterkünfte geht hervor, dass die zuständige Polizeidirektion wegen Sachbeschädigung an einer Asylunterkunft ermittelt und diese Straftat als “politisch motivierte Kriminalität – rechts” einordnet.",http://dipbt.bundestag.de/doc/btd/18/074/1807465.pdf,2015
