address,address_formatted,latitude,longitude
nan,,,
"Giesen, Niedersachsen","Giesen, Germany",52.1959032,9.8965274
"Schönbrunn, Thüringen","Schönbrunn, 98667 Schleusegrund, Germany",50.5199534,10.8753445
"Nauen, Brandenburg","Nauen, Germany",52.6069165,12.8814887
"Großheirath, Bayern","96269 Großheirath, Germany",50.1760464,10.9510297
"Murg, Baden-Württemberg","79730 Murg, Germany",47.5559793,8.024303999999999
"Gernsbach, Baden-Württemberg","76593 Gernsbach, Germany",48.763178,8.3437129
"Hann. Münden, Niedersachsen","34346 Hann. Münden, Germany",51.419285,9.6557588
"Biebesheim, Hessen","64584 Biebesheim am Rhein, Germany",49.7792822,8.4743923
"Geisweid, Siegen, Nordrhein-Westfalen","Geisweid, 57078 Siegen, Germany",50.9137064,8.0084342
"Rutesheim, Baden-Württemberg","Rutesheim, Germany",48.80815,8.9455036
"Kiel, Schleswig-Holstein","Kiel, Germany",54.3232927,10.1227652
"Much, Nordrhein-Westfalen","53804 Much, Germany",50.90397309999999,7.4022887
"Lebach, Saarland","66822 Lebach, Germany",49.4039607,6.9045054
"Kolenfeld, Wunstorf, Niedersachsen","Kolenfeld, 31515 Wunstorf, Germany",52.38749809999999,9.4542782
"Mainz, Hessen","Mainz, Germany",49.9928617,8.2472526
"Benneckenstein , Sachsen-Anhalt","Benneckenstein, Germany",51.664129,10.7218641
"Hermannsburg, Niedersachsen","Hermannsburg, Südheide, Germany",52.8315279,10.090157
"Stendal, Sachsen-Anhalt","Stendal, Germany",52.6041444,11.8517729
"Wismar , Mecklenburg-Vorpommern","Wismar, Germany",53.8879706,11.4621371
"Kaufbeuren, Bayern","87600 Kaufbeuren, Germany",47.8830175,10.625966
"Wippenfürth, Nordrhein-Westfalen","51688 Wipperfürth, Germany",51.1180108,7.395541700000001
"Schmölln, Thüringen","04626 Schmölln, Germany",50.89543399999999,12.3550615
"Vierkirchen, Bayern","85256 Vierkirchen, Germany",48.3649991,11.4598466
"Clausthal-Zellerfeld, Niedersachsen","38678 Clausthal-Zellerfeld, Germany",51.8080063,10.340707
"Wettringen, Nordrhein-Westfalen","48493 Wettringen, Germany",52.20855599999999,7.317988999999999
"Obertrubach, Bayern","91286 Obertrubach, Germany",49.695125,11.3462419
"Straßkirchen, Bayern","94342 Straßkirchen, Germany",48.8302117,12.7234462
"Mannheim, Baden-Württemberg","Mannheim, Germany",49.4874592,8.466039499999999
"Hünxe, Nordrhein-Westfalen","46569 Hünxe, Germany",51.64111990000001,6.7676165
"Meißen, Sachsen","Meissen, Germany",51.1617842,13.4976592
"Angermünde, Brandenburg","Angermünde, Germany",53.0145422,13.996593
"Hattersheim am Main, Hessen","Hattersheim am Main, Germany",50.0695728,8.487226699999999
"Peißen (Landsberg), Sachsen-Anhalt","Peißen, Landsberg, Germany",51.5022835,12.0579382
"Nusse, Schleswig-Holstein","23896 Nusse, Germany",53.657208,10.5804476
"Bliesdorf, Brandenburg","Bliesdorf, Germany",52.69308909999999,14.1588173
"Lingen (Ems), Niedersachsen","Lingen, Germany",52.54030789999999,7.329286199999999
"Arnsberg, Nordrhein-Westfalen","Arnsberg, Germany",51.4073375,8.052771
"Greußen, Thüringen","99718 Greußen, Germany",51.22824,10.94823
"Bissendorf, Niedersachsen","49143 Bissendorf, Germany",52.2377707,8.1702838
"Preußisch Oldendorf, Nordrhein-Westfalen","32361 Preußisch Oldendorf, Germany",52.3059095,8.489118999999999
"Aichbach, Bayern","86551 Aichach, Germany",48.4588516,11.1328472
"Althusried, Bayern","87452 Altusried, Germany",47.8043878,10.2150696
"Gröden, Brandenburg","Gröden, Germany",51.4039954,13.5729398
"Laußig, Sachsen","Laußig, Germany",51.5469756,12.6334526
"Neusalza-Spremberg, Sachsen","Neusalza-Spremberg, Germany",51.0380155,14.5276012
"Herrischried, Baden-Württemberg","79737 Herrischried, Germany",47.6662711,8.001226299999999
"Wurzen, Sachsen","Wurzen, Germany",51.36988059999999,12.7436557
"Tannhausen, Baden-Württemberg","Tannhausen, Germany",48.9778281,10.3630189
"Bad Rappenau, Baden-Württemberg","74906 Bad Rappenau, Germany",49.24016899999999,9.1020153
"Schöllnach, Bayern","Schöllnach, Germany",48.7538973,13.1772833
"Rosdorf, Niedersachsen","Rosdorf, Germany",51.50648,9.90029
"Friedrichshain, Berlin","Friedrichshain, Berlin, Germany",52.51582399999999,13.4539891
"Quedlinburg, Sachsen-Anhalt","Quedlinburg, Germany",51.7920562,11.141448
"Rammelsbach, Rheinland-Pfalz","Rammelsbach, Germany",49.5403786,7.442852200000001
"Steinheim an der Murr, Baden-Württemberg","71711 Steinheim an der Murr, Germany",48.9691889,9.276239700000001
"Schwanfeld, Bayern","Schwanfeld, Germany",49.9221423,10.1375434
"Calbe, Sachsen-Anhalt","39240 Calbe, Germany",51.9046792,11.7712671
"Löwenberger Land, Brandenburg","Löwenberger Land, Germany",52.894712,13.1859903
"Dattenberg, Rheinland-Pfalz","Dattenberg, Germany",50.5532623,7.292199300000001
"Bermatingen, Baden-Württemberg","88697 Bermatingen, Germany",47.731099,9.348192
"Hildesheim, Niedersachsen","Hildesheim, Germany",52.154778,9.9579652
"Rottbitze, Nordrhein-Westfalen","Rottbitze, 53604 Bad Honnef, Germany",50.6483193,7.322043799999999
"Ebersbach-Neugersdorf, Sachsen","Ebersbach, Germany",51.0040105,14.5905347
"Choren, Döbeln, Sachsen","Choren, 04720 Mochau, Germany",51.1002381,13.2449925
"Geroldsgrün, Bayern","95179 Geroldsgrün, Germany",50.3363216,11.5953878
"Haunsheim, Bayern","89437 Haunsheim, Germany",48.59907219999999,10.376067
"Vilshofen, Bayern","94474 Vilshofen an der Donau, Germany",48.6270454,13.1829237
"Farmsen, Hamburg","Farmsen-Berne, Hamburg, Germany",53.6107299,10.116584
"Losheim, Saarland","66679 Losheim am See, Germany",49.5092435,6.7463209
"Herzogenrath, Nordrhein-Westfalen","52134 Herzogenrath, Germany",50.8649918,6.091241000000001
"Sankt Ingbert, Saarland","66386 Sankt Ingbert, Germany",49.2774456,7.1118995
"Viereck, Pasewalk, Mecklenburg-Vorpommern","17309 Pasewalk, Germany",53.5038857,13.999031
"Roitzsch, Sachsen-Anhalt","Roitzsch, 06809 Sandersdorf-Brehna, Germany",51.5766582,12.2659289
"Raunheim, Hessen","Raunheim, Germany",50.0104109,8.4529177
"Münsterdorf, Schleswig-Holstein","Münsterdorf, Germany",53.9023662,9.541309499999999
"Buch, Berlin","Buch, Berlin, Germany",52.64140099999999,13.496539
"Bodman-Ludwigshafen, Baden-Württemberg","78351 Bodman-Ludwigshafen, Germany",47.8185773,9.055827599999999
"Graben-Neudorf, Rheinland-Pfalz","76676 Graben-Neudorf, Germany",49.1605184,8.484947199999999
"Prohlis, Dresden, Sachsen","Prohlis, Dresden, Germany",51.0035521,13.7906402
"Langewiesen, Thüringen","Langewiesen, Ilmenau, Germany",50.6724486,10.9710759
"Kyritz, Brandenburg","Kyritz, Germany",52.9432288,12.3961712
"Bayreuth, Bayern","Bayreuth, Germany",49.9456399,11.5713346
"Offenheim, Rheinland-Pfalz","55234 Offenheim, Germany",49.726353,8.031593599999999
"Rheinbach, Nordrhein-Westfalen","53359 Rheinbach, Germany",50.625307,6.9477005
"Illingen, Baden-Württemberg","75428 Illingen, Germany",48.9562888,8.9256999
"Sersheim, Baden-Württemberg","Sersheim, Germany",48.9588468,9.012917
"Lauenförde, Niedersachsen","Lauenförde, Germany",51.6599515,9.387749099999999
"Delmenhorst, Niedersachsen","Delmenhorst, Germany",53.0521886,8.635593199999999
"Weißwasser, Sachsen","Weißwasser, Germany",51.50435179999999,14.6345926
"Berlin-Johannisthal, Berlin","Johannisthal, Berlin, Germany",52.4367582,13.5039931
"Geiersthal, Bayern","94244 Geiersthal, Germany",49.04649329999999,12.9799783
"Langerwehe, Nordrhein-Westfalen","52379 Langerwehe, Germany",50.81580109999999,6.362345299999999
"Schellerten, Niedersachsen","Schellerten, Germany",52.18695409999999,10.1019261
