de,en
"Aus der Antwort der Bundesregierung auf eine Kleine Anfrage zu Übergriffen auf Asylsuchende und ihre Unterkünfte geht hervor, dass die zuständige Polizeidirektion wegen Volksverhetzung ermittelt und diesen Vorfall als “politisch motivierte Kriminalität – rechts” einordnet. Weitere Details zum Tathergang gehen aus der Antwort nicht hervor. Aufgrund der Vielzahl von Vorfällen ist es uns nicht möglich, in jedem Fall durch Nachfragen bei den zuständigen Ermittlungsbehörden (oder der zuständigen Staatsanwaltschaft) weitere Einzelheiten in Erfahrung zu bringen. Wir müssen unsere Nachforschungen deshalb in der Regel auf besonders schwerwiegende Vorfälle beschränken, etwa Körperverletzungsdelikte oder Brandanschläge.","The federal government's answer to a minor inquiry on attacks on asylum seekers and their accommodations reveals that the responsible police department is investigating incitement of the people and classifies this incident as ""politically motivated crime - right-wing"". Further details on the course of events do not emerge from the answer. Due to the large number of incidents, it is not possible for us to obtain further details in each case by inquiring with the responsible investigating authorities (or the responsible public prosecutor's office). We therefore generally have to limit our inquiries to particularly serious incidents, such as bodily injury offenses or arson attacks."
"Aus der Antwort der Bundesregierung auf eine Kleine Anfrage zu Übergriffen auf Asylsuchende und ihre Unterkünfte geht hervor, dass die zuständige Polizeidirektion wegen Körperverletzung ermittelt und diesen Vorfall als “politisch motivierte Kriminalität – rechts” einordnet. Wie viele Personen bei dem Vorfall verletzt wurden, ist den Angaben nicht zu entnehmen. Aufgrund der Vielzahl von Vorfällen kann es einige Zeit dauern, bis wir durch Nachfragen bei den zuständigen Ermittlungsbehörden (oder der zuständigen Staatsanwaltschaft) weitere Informationen zu einzelnen Übergriffen nachtragen können.","The federal government's answer to a minor inquiry on assaults on asylum seekers and their accommodations reveals that the responsible police department is investigating assaults and classifies this incident as ""politically motivated crime - right-wing"". How many people were injured in the incident cannot be inferred from the information. Due to the large number of incidents, it may take some time before we can provide further information on individual assaults by inquiring with the responsible investigating authorities (or the responsible public prosecutor's office)."
"Aus der Antwort der Bundesregierung auf eine Kleine Anfrage zu Übergriffen auf Asylsuchende und ihre Unterkünfte geht hervor, dass die zuständige Polizeidirektion wegen des Verwendens von Kennzeichen verfassungswidriger Organisationen ermittelt und diesen Vorfall als “politisch motivierte Kriminalität – rechts” einordnet. Aufgrund der Vielzahl von Vorfällen ist es uns nicht möglich, in jedem Fall durch Nachfragen bei den zuständigen Ermittlungsbehörden (oder der zuständigen Staatsanwaltschaft) weitere Einzelheiten in Erfahrung zu bringen. Wir müssen unsere Nachforschungen deshalb in der Regel auf besonders schwerwiegende Vorfälle beschränken, etwa Körperverletzungsdelikte oder Brandanschläge.","From the federal government's answer to a minor question on attacks on asylum seekers and their accommodations, it appears that the responsible police department is investigating the use of symbols of unconstitutional organizations and classifies this incident as ""politically motivated crime - right-wing"". Due to the large number of incidents, it is not possible for us to obtain further details in each case by inquiring with the responsible investigating authorities (or the responsible public prosecutor's office). We therefore usually have to limit our inquiries to particularly serious incidents, such as bodily injury offenses or arson attacks."
"Aus der Antwort der Bundesregierung auf eine Kleine Anfrage zu Übergriffen auf Asylsuchende und ihre Unterkünfte geht hervor, dass die zuständige Polizeidirektion wegen gefährlicher Körperverletzung ermittelt und diesen Vorfall als “politisch motivierte Kriminalität – rechts” einordnet. Wie viele Personen bei dem Vorfall verletzt wurden, ist den Angaben nicht zu entnehmen. Aufgrund der Vielzahl von Vorfällen kann es einige Zeit dauern, bis wir durch Nachfragen bei den zuständigen Ermittlungsbehörden (oder der zuständigen Staatsanwaltschaft) weitere Informationen zu einzelnen Übergriffen nachtragen können.","The federal government's answer to a minor inquiry on attacks on asylum seekers and their accommodations reveals that the responsible police department is investigating dangerous bodily harm and classifies this incident as ""politically motivated crime - right-wing"". How many people were injured in the incident cannot be inferred from the information. Due to the large number of incidents, it may take some time before we can provide further information on individual assaults by inquiring with the responsible investigating authorities (or the responsible public prosecutor's office)."
"Aus der Antwort der Bundesregierung auf eine Kleine Anfrage zu Übergriffen auf Asylsuchende und ihre Unterkünfte geht hervor, dass die zuständige Polizeidirektion wegen Beleidigung ermittelt und diesen Vorfall als “politisch motivierte Kriminalität – rechts” einordnet. Weitere Details zum Tathergang gehen aus der Antwort nicht hervor. Aufgrund der Vielzahl von Vorfällen ist es uns nicht möglich, in jedem Fall durch Nachfragen bei den zuständigen Ermittlungsbehörden (oder der zuständigen Staatsanwaltschaft) weitere Einzelheiten in Erfahrung zu bringen. Wir müssen unsere Nachforschungen deshalb in der Regel auf besonders schwerwiegende Vorfälle beschränken, etwa Körperverletzungsdelikte oder Brandanschläge.","The federal government's answer to a minor inquiry on assaults on asylum seekers and their accommodations reveals that the responsible police department is investigating for insults and classifies this incident as ""politically motivated crime - right-wing"". Further details on the course of events do not emerge from the answer. Due to the large number of incidents, it is not possible for us to obtain further details in each case by inquiring with the responsible investigating authorities (or the responsible public prosecutor's office). We therefore generally have to limit our inquiries to particularly serious incidents, such as bodily injury offenses or arson attacks."
"Aus der Antwort der Bundesregierung auf eine Kleine Anfrage zu Übergriffen auf Asylsuchende und ihre Unterkünfte geht hervor, dass die zuständige Polizeidirektion wegen Sachbeschädigung ermittelt und diesen Vorfall als “politisch motivierte Kriminalität – rechts” einordnet. Weitere Details zum Tathergang gehen aus der Antwort nicht hervor. Aufgrund der Vielzahl von Vorfällen ist es uns nicht möglich, in jedem Fall durch Nachfragen bei den zuständigen Ermittlungsbehörden (oder der zuständigen Staatsanwaltschaft) weitere Einzelheiten in Erfahrung zu bringen. Wir müssen unsere Nachforschungen deshalb in der Regel auf besonders schwerwiegende Vorfälle beschränken, etwa Körperverletzungsdelikte oder Brandanschläge.","The federal government's answer to a minor question on attacks on asylum seekers and their accommodations reveals that the responsible police department is investigating damage to property and classifies this incident as ""politically motivated crime - right-wing"". The answer does not provide any further details on the course of events. Due to the large number of incidents, it is not possible for us to obtain further details in each case by inquiring with the responsible investigating authorities (or the responsible public prosecutor's office). We therefore generally have to limit our inquiries to particularly serious incidents, such as bodily injury offenses or arson attacks."
"Unbekannte haben an Abend des ersten Weihnachtstags mit Stahlkugeln mehrere Scheiben einer Asylunterkunft eingeschossen, vermutlich abgeschossen mit einer Zwille, die die Polizei am Tatort sicherstellte. Verletzt wurde niemand. Bereits am Vorabend wurde in derselben Unterkunft eine Fensterscheibe mit einem Pflasterstein eingeworfen.","On the evening of Christmas Day, unknown persons shot in several windows of an asylum center with steel bullets, presumably fired with a slingshot, which the police recovered at the scene. No one was injured. Already the evening before, a window pane in the same accommodation was broken with a paving stone."
Unbekannte haben an Heiligabend mit einem Pflasterstein eine Scheibe einer Asylunterkunft eingeworfen. Verletzt wurde niemand. Am nächsten Abend wurde dieselbe Unterkunft erneut angegriffen.,"Unknown persons broke a window of an asylum center with a paving stone on Christmas Eve. No one was injured. The next evening, the same accommodation was attacked again."
"Aus der Antwort der Bundesregierung auf eine Kleine Anfrage zu Übergriffen auf Asylsuchende und ihre Unterkünfte geht hervor, dass die zuständige Polizeidirektion wegen Vortäuschen einer Straftat ermittelt und diesen Vorfall als “politisch motivierte Kriminalität – rechts” einordnet. Weitere Details zum Tathergang gehen aus der Antwort nicht hervor. Aufgrund der Vielzahl von Vorfällen ist es uns nicht möglich, in jedem Fall durch Nachfragen bei den zuständigen Ermittlungsbehörden (oder der zuständigen Staatsanwaltschaft) weitere Einzelheiten in Erfahrung zu bringen. Wir müssen unsere Nachforschungen deshalb in der Regel auf besonders schwerwiegende Vorfälle beschränken, etwa Körperverletzungsdelikte oder Brandanschläge.","The federal government's answer to a minor inquiry on attacks on asylum seekers and their accommodations reveals that the responsible police department is investigating the pretense of a crime and classifies this incident as ""politically motivated crime - right-wing"". The answer does not provide any further details on the course of events. Due to the large number of incidents, it is not possible for us to obtain further details in each case by inquiring with the responsible investigating authorities (or the responsible public prosecutor's office). We therefore generally have to limit our inquiries to particularly serious incidents, such as bodily injury offenses or arson attacks."
"Aus der Antwort der Bundesregierung auf eine Kleine Anfrage zu Übergriffen auf Asylsuchende und ihre Unterkünfte geht hervor, dass die zuständige Polizeidirektion wegen Bedrohung ermittelt und diesen Vorfall als “politisch motivierte Kriminalität – rechts” einordnet. Weitere Details zum Tathergang gehen aus der Antwort nicht hervor. Aufgrund der Vielzahl von Vorfällen ist es uns nicht möglich, in jedem Fall durch Nachfragen bei den zuständigen Ermittlungsbehörden (oder der zuständigen Staatsanwaltschaft) weitere Einzelheiten in Erfahrung zu bringen. Wir müssen unsere Nachforschungen deshalb in der Regel auf besonders schwerwiegende Vorfälle beschränken, etwa Körperverletzungsdelikte oder Brandanschläge.","The federal government's answer to a minor inquiry on attacks on asylum seekers and their accommodations reveals that the responsible police department is investigating threats and classifies this incident as ""politically motivated crime - right-wing"". The answer does not provide any further details on the course of events. Due to the large number of incidents, it is not possible for us to obtain further details in each case by inquiring with the responsible investigating authorities (or the responsible public prosecutor's office). We therefore generally have to limit our inquiries to particularly serious incidents, such as bodily injury offenses or arson attacks."
